Created_At,From_User,Tweet_Text
"Thu, 05 Jul 2012 04:27:55 +0000",kao0902,RT @AnonymousIRC: http://t.co/gYeHmLsN #OpJapan #Anonymous
"Thu, 05 Jul 2012 03:58:31 +0000",shu_tarou,RT @AnonymousIRC: #Anonymous supports the brave Japanese who are protesting against the relaunch of nuclear reactors. #OpJapan ()TEPCO
